ts,rss_mb,avail_mb,total_mb,mps_alloc_mb,mps_reserved_mb
1756712805.052081,39669.6,98186.4,262144.0,88810.0,0.0
1756712805.777207,40037.7,102413.3,262144.0,88810.0,0.0
1756712806.112516,43561.7,101095.7,262144.0,88810.0,0.0
1756712806.317531,42414.1,101667.0,262144.0,88810.0,0.0
1756712806.520184,43476.0,101667.0,262144.0,88810.0,0.0
1756712806.842761,42336.2,101667.0,262144.0,88810.0,0.0
1756712807.088479,42336.2,101667.0,262144.0,90060.0,0.0
1756712807.340252,42336.2,97780.4,262144.0,90060.0,0.0
1756712807.569026,42336.2,98713.8,262144.0,90060.0,0.0
1756712807.825319,42336.2,95454.3,262144.0,91310.0,0.0
1756712808.071370,42336.2,95454.3,262144.0,91310.0,0.0
1756712808.301892,43586.2,95454.3,262144.0,91310.0,0.0
1756712808.954740,43329.0,96615.9,262144.0,93810.0,0.0
1756712809.371394,43275.4,95866.0,262144.0,93810.0,0.0
1756712809.597200,40775.4,95866.0,262144.0,93814.9,0.0
1756712809.799854,40781.0,95866.0,262144.0,93819.8,0.0
1756712810.004038,40781.0,95010.1,262144.0,93819.8,0.0
1756712810.505790,42033.6,93244.4,262144.0,93819.8,0.0
1756712810.709294,42033.6,93501.6,262144.0,93819.8,0.0
1756712810.914568,42033.6,93495.7,262144.0,93819.8,0.0
1756712811.116022,42033.6,93500.8,262144.0,93819.8,0.0
1756712811.319617,42033.6,93544.5,262144.0,93819.8,0.0
1756712811.523773,42033.6,94652.5,262144.0,93819.8,0.0
1756712811.729060,42033.6,94652.5,262144.0,93819.8,0.0
1756712811.933356,42033.6,94652.5,262144.0,93819.8,0.0
1756712812.137374,42033.6,94841.9,262144.0,93819.8,0.0
1756712812.342622,42033.6,94838.3,262144.0,93819.8,0.0
1756712812.546504,42033.6,94826.9,262144.0,93819.8,0.0
1756712812.751740,42630.8,94826.9,262144.0,93819.8,0.0
1756712813.002403,42033.6,94826.9,262144.0,93819.8,0.0
1756712813.340999,43283.6,102925.6,262144.0,93819.8,0.0
1756712813.545352,43659.1,103045.8,262144.0,93819.8,0.0
1756712814.354547,44756.7,101733.0,262144.0,93819.8,0.0
1756712814.706042,48280.7,99711.3,262144.0,93819.8,0.0
1756712814.908270,46949.4,100853.2,262144.0,93819.8,0.0
1756712815.113052,47949.1,101769.9,262144.0,93819.8,0.0
1756712815.390308,47046.3,100701.9,262144.0,93819.8,0.0
1756712815.661229,47046.3,96451.4,262144.0,95069.8,0.0
1756712815.917541,47046.3,96567.7,262144.0,95069.8,0.0
1756712816.349188,47046.3,96599.8,262144.0,96319.8,0.0
1756712816.579775,48296.3,96586.0,262144.0,96319.8,0.0
1756712817.183566,48295.5,92655.4,262144.0,98819.8,0.0
1756712817.725191,48295.5,96055.6,262144.0,98819.8,0.0
1756712817.925803,45796.2,96869.1,262144.0,98829.6,0.0
1756712818.131075,45796.2,95964.6,262144.0,98829.6,0.0
1756712818.453843,45800.6,95963.8,262144.0,98833.1,0.0
1756712818.788140,45802.8,89165.9,262144.0,98835.6,0.0
1756712818.992457,45818.7,87332.9,262144.0,98847.6,0.0
1756712819.196310,45837.5,86800.9,262144.0,98846.3,0.0
1756712819.402366,45869.4,86784.3,262144.0,98838.6,0.0
1756712819.606595,45892.8,86760.9,262144.0,98850.1,0.0
1756712819.810853,45921.6,86765.8,262144.0,98852.1,0.0
1756712820.013763,45950.1,86806.8,262144.0,98848.1,0.0
1756712820.215836,45978.0,87056.5,262144.0,98847.1,0.0
1756712820.421261,46002.8,87056.5,262144.0,98840.6,0.0
1756712820.627679,46028.7,87056.5,262144.0,98840.6,0.0
1756712820.831196,46058.3,86860.7,262144.0,98848.8,0.0
1756712821.036240,46086.7,86831.9,262144.0,98849.6,0.0
1756712821.241104,46121.8,86816.5,262144.0,98842.1,0.0
1756712821.446227,46145.4,86798.2,262144.0,98836.6,0.0
1756712821.651197,46183.0,87221.2,262144.0,98846.9,0.0
1756712821.855326,46211.3,87190.8,262144.0,98847.6,0.0
1756712822.060393,46238.3,87188.3,262144.0,98851.3,0.0
1756712822.264549,46256.7,87188.3,262144.0,98842.4,0.0
1756712822.470926,46282.5,87188.3,262144.0,98840.6,0.0
1756712822.675453,46304.4,87188.3,262144.0,98842.6,0.0
1756712822.881922,46325.2,87288.2,262144.0,98843.1,0.0
1756712823.087368,46343.1,87266.6,262144.0,98844.6,0.0
1756712823.291954,46371.4,87266.6,262144.0,98840.1,0.0
1756712823.498548,46399.1,87266.6,262144.0,98842.1,0.0
1756712823.702868,46439.4,87266.6,262144.0,98847.1,0.0
1756712823.910663,46470.0,87190.4,262144.0,98849.1,0.0
1756712824.115413,46498.7,87190.4,262144.0,98853.6,0.0
1756712824.319658,46530.5,87190.4,262144.0,98845.8,0.0
1756712824.524902,46567.6,87190.4,262144.0,98854.8,0.0
1756712824.729562,46611.4,87190.4,262144.0,98855.5,0.0
1756712824.930128,46649.8,87095.8,262144.0,98842.1,0.0
1756712825.135245,46688.6,87069.0,262144.0,98842.6,0.0
1756712825.342406,46723.9,87052.7,262144.0,98849.6,0.0
1756712825.543818,46762.1,87026.5,262144.0,98843.8,0.0
1756712825.749168,46807.4,87004.2,262144.0,98845.1,0.0
1756712825.955847,46845.5,86961.9,262144.0,98849.6,0.0
1756712826.157739,46882.9,86947.1,262144.0,98858.8,0.0
1756712826.362643,46917.7,86958.0,262144.0,98846.6,0.0
1756712826.567166,46961.3,86958.0,262144.0,98851.1,0.0
1756712826.771245,47002.0,86958.0,262144.0,98859.7,0.0
1756712826.975327,47038.0,86897.0,262144.0,98847.1,0.0
1756712827.180531,47038.1,86889.7,262144.0,98844.6,0.0
1756712827.384951,47038.1,86880.3,262144.0,98844.6,0.0
1756712827.588307,47038.1,86880.0,262144.0,98844.6,0.0
1756712827.791608,47038.1,86880.0,262144.0,98844.6,0.0
1756712827.993871,47038.1,86884.4,262144.0,98844.6,0.0
1756712828.198541,47038.1,87267.3,262144.0,98844.6,0.0
1756712828.403813,47038.1,88141.3,262144.0,98844.6,0.0
1756712828.608023,47038.1,88141.3,262144.0,98844.6,0.0
1756712828.812083,47038.1,88141.3,262144.0,98844.6,0.0
1756712829.038933,47040.1,88085.8,262144.0,98846.6,0.0
1756712829.556132,47040.1,89573.3,262144.0,98849.1,0.0
1756712829.924937,47043.2,89573.4,262144.0,98851.6,0.0
1756712830.130225,47071.8,86764.0,262144.0,98852.1,0.0
1756712830.334725,47090.6,86797.9,262144.0,98851.6,0.0
1756712830.540145,47128.1,86769.3,262144.0,98853.6,0.0
1756712830.745811,47171.2,86747.1,262144.0,98844.1,0.0
1756712830.949419,47206.5,86733.2,262144.0,98854.8,0.0
1756712831.155046,47242.1,86725.2,262144.0,98851.6,0.0
1756712831.360162,47280.2,86698.5,262144.0,98862.1,0.0
